Name,Phone Number,Email,Credit Score,Age Group,Family Background,Income,Comments,Occupation,Lead Intent
User0,+91-6869083664,user0@outlook.com,402,36–50,Married,613672,not urgent,Lawyer,0
User1,+91-9533628111,user1@test.com,735,51+,Married,934038,budget approved,AccountantCivil Engineer,0
User2,+91-5637616554,user2@gmail.com,570,51+,Single,984544,need more info,Retired,1
User3,+91-0420717804,user3@yahoo.com,406,18–25,Married,697702,interested,Doctor,0
User4,+91-3743388209,user4@gmail.com,371,36–50,Single,979577,price too high,Doctor,0
User5,+91-3769569125,user5@outlook.com,320,36–50,Single,804582,not urgent,Teacher,0
User6,+91-8438521757,user6@gmail.com,421,36–50,Married,672403,not urgent,Student,1
User7,+91-6043678485,user7@gmail.com,766,26–35,Single,976038,not urgent,Business Owner,1
User8,+91-2665876333,user8@test.com,514,51+,Single,664935,,Teacher,1
User9,+91-5668489920,user9@gmail.com,630,18–25,Single,154607,urgent,Lawyer,1
User10,+91-7904572550,user10@outlook.com,758,26–35,Married,550626,budget approved,Business Owner,1
User11,+91-0448950070,user11@outlook.com,387,18–25,Single,121996,not urgent,Software Engineer,0
User12,+91-5186528879,user12@yahoo.com,672,26–35,Married with Kids,183697,urgent,Software Engineer,1
User13,+91-4587693619,user13@outlook.com,399,36–50,Married,408166,need more info,Student,1
User14,+91-4004069303,user14@yahoo.com,430,26–35,Married,926580,call me now,Sales Executive,1
User15,+91-6663835256,user15@yahoo.com,608,36–50,Single,692052,follow up next week,Teacher,1
User16,+91-1556577891,user16@gmail.com,643,26–35,Married,978333,not interested,Software Engineer,1
User17,+91-9852548199,user17@test.com,791,18–25,Married with Kids,452868,price too high,Doctor,0
User18,+91-2708472775,user18@gmail.com,713,18–25,Married,339190,budget approved,Lawyer,0
User19,+91-9714009001,user19@yahoo.com,685,26–35,Married,108888,budget approved,AccountantCivil Engineer,1
User20,+91-7387088574,user20@test.com,491,51+,Married,844026,,Doctor,1
User21,+91-0074154028,user21@test.com,576,51+,Single,535413,price too high,AccountantCivil Engineer,0
User22,+91-9213990024,user22@gmail.com,460,26–35,Married with Kids,321432,call me now,Business Owner,0
User23,+91-6639827095,user23@yahoo.com,759,51+,Married with Kids,461085,follow up next week,Retired,0
User24,+91-5341906353,user24@gmail.com,613,18–25,Married with Kids,379477,need more info,AccountantCivil Engineer,1
User25,+91-7504006166,user25@test.com,321,51+,Married,601616,not urgent,Lawyer,1
User26,+91-8861295182,user26@outlook.com,552,26–35,Married with Kids,660643,need more info,Retired,0
User27,+91-1609295677,user27@gmail.com,774,51+,Single,330487,not urgent,Student,1
User28,+91-5866734548,user28@outlook.com,358,26–35,Married,753974,urgent,AccountantCivil Engineer,1
User29,+91-0541836561,user29@yahoo.com,810,18–25,Single,567119,,Retired,0
User30,+91-5168120710,user30@outlook.com,775,36–50,Married,786505,budget approved,Retired,1
User31,+91-6214819425,user31@yahoo.com,489,18–25,Single,873890,price too high,Software Engineer,1
User32,+91-9369459157,user32@yahoo.com,543,18–25,Married,349434,not interested,Sales Executive,1
User33,+91-1990220606,user33@outlook.com,804,26–35,Single,989602,call me now,AccountantCivil Engineer,0
User34,+91-8053161865,user34@gmail.com,430,18–25,Married with Kids,437819,need more info,Sales Executive,1
User35,+91-3148496145,user35@outlook.com,784,18–25,Married,280926,urgent,Doctor,1
User36,+91-8247226989,user36@outlook.com,320,51+,Married,691952,budget approved,Doctor,0
User37,+91-4195761202,user37@gmail.com,466,26–35,Single,600638,interested,AccountantCivil Engineer,0
User38,+91-1285511621,user38@gmail.com,573,51+,Single,710441,interested,Business Owner,1
User39,+91-9454896134,user39@outlook.com,687,26–35,Single,717904,,Lawyer,0
User40,+91-4968071334,user40@test.com,615,51+,Married,921717,call me now,Sales Executive,1
User41,+91-2388275241,user41@outlook.com,313,51+,Single,356349,urgent,AccountantCivil Engineer,0
User42,+91-5002059497,user42@outlook.com,541,36–50,Married with Kids,510749,follow up next week,Teacher,0
User43,+91-9743368302,user43@yahoo.com,645,18–25,Single,671284,price too high,Software Engineer,1
User44,+91-3427416434,user44@outlook.com,639,51+,Single,409091,,Sales Executive,1
User45,+91-3306355386,user45@test.com,391,36–50,Single,521172,price too high,AccountantCivil Engineer,0
User46,+91-9577534087,user46@yahoo.com,666,51+,Married with Kids,937462,price too high,Retired,1
User47,+91-8991633024,user47@outlook.com,754,51+,Single,551813,,Business Owner,1
User48,+91-2463274792,user48@test.com,727,36–50,Single,928875,interested,Software Engineer,1
User49,+91-7594755352,user49@outlook.com,808,36–50,Married,752632,not urgent,Sales Executive,1
User50,+91-3098698507,user50@outlook.com,334,36–50,Married,329685,interested,Business Owner,0
User51,+91-1370994403,user51@yahoo.com,505,18–25,Single,427608,call me now,Doctor,0
User52,+91-5479289888,user52@gmail.com,380,18–25,Married,752307,call me now,Retired,0
User53,+91-3851538100,user53@outlook.com,687,51+,Single,235024,interested,Teacher,0
User54,+91-4935860453,user54@yahoo.com,301,18–25,Single,283273,call me now,Software Engineer,1
User55,+91-1429338899,user55@outlook.com,689,36–50,Married with Kids,744742,need more info,Retired,1
User56,+91-2388913682,user56@outlook.com,405,26–35,Single,224444,urgent,Business Owner,0
User57,+91-0775531101,user57@outlook.com,776,18–25,Married,474319,interested,Software Engineer,1
User58,+91-4271819295,user58@gmail.com,701,36–50,Married,404604,interested,Lawyer,1
User59,+91-2643346568,user59@gmail.com,461,36–50,Married,253868,price too high,Doctor,0
User60,+91-4458242916,user60@outlook.com,501,36–50,Married,262818,urgent,Business Owner,0
User61,+91-7981212168,user61@yahoo.com,569,36–50,Single,580001,not interested,AccountantCivil Engineer,0
User62,+91-8881542387,user62@test.com,570,51+,Married with Kids,100015,need more info,Retired,1
User63,+91-3249475687,user63@yahoo.com,755,36–50,Married with Kids,936189,urgent,Doctor,1
User64,+91-4601011563,user64@yahoo.com,761,36–50,Single,257029,call me now,Sales Executive,1
User65,+91-1141721399,user65@gmail.com,551,51+,Married,705829,budget approved,Teacher,1
User66,+91-9293421478,user66@gmail.com,595,18–25,Married with Kids,645580,,Doctor,0
User67,+91-3846083119,user67@gmail.com,637,26–35,Married with Kids,484838,budget approved,Lawyer,0
User68,+91-0150785568,user68@outlook.com,352,51+,Single,262948,price too high,Sales Executive,1
User69,+91-4504858288,user69@test.com,516,51+,Married,816087,urgent,Software Engineer,1
User70,+91-5284058815,user70@gmail.com,487,18–25,Married with Kids,147046,urgent,Sales Executive,0
User71,+91-6444617420,user71@gmail.com,679,18–25,Single,639105,need more info,Lawyer,1
User72,+91-7848550898,user72@yahoo.com,792,36–50,Married with Kids,109759,,Student,1
User73,+91-8684750619,user73@test.com,340,18–25,Married with Kids,279504,not interested,Retired,0
User74,+91-1376000097,user74@test.com,456,26–35,Married,368556,interested,Student,1
User75,+91-3999893478,user75@yahoo.com,314,51+,Married,550973,need more info,Student,0
User76,+91-2246777176,user76@test.com,364,26–35,Married with Kids,382648,call me now,Teacher,1
User77,+91-4643664463,user77@yahoo.com,820,36–50,Married,470644,interested,Teacher,1
User78,+91-3030890256,user78@outlook.com,643,26–35,Married with Kids,370651,urgent,Sales Executive,0
User79,+91-6901575557,user79@yahoo.com,428,36–50,Married with Kids,121050,not interested,AccountantCivil Engineer,1
User80,+91-9300614466,user80@yahoo.com,771,26–35,Married with Kids,498036,urgent,Sales Executive,1
User81,+91-6503531078,user81@yahoo.com,362,51+,Single,586383,urgent,Retired,0
User82,+91-0087804358,user82@yahoo.com,438,26–35,Married,200153,not interested,Business Owner,0
User83,+91-0411464273,user83@gmail.com,798,18–25,Married,900019,call me now,AccountantCivil Engineer,1
User84,+91-3299101470,user84@gmail.com,691,26–35,Married with Kids,331329,follow up next week,Business Owner,0
User85,+91-1409468741,user85@yahoo.com,718,51+,Married,682020,need more info,Student,1
User86,+91-3726464314,user86@yahoo.com,588,36–50,Married with Kids,676209,not interested,Software Engineer,1
User87,+91-4601034514,user87@gmail.com,678,26–35,Married,538715,budget approved,Business Owner,1
User88,+91-7558692513,user88@test.com,789,26–35,Married,742022,need more info,Lawyer,1
User89,+91-5294902416,user89@test.com,530,18–25,Married with Kids,237912,not urgent,AccountantCivil Engineer,0
User90,+91-9094614087,user90@yahoo.com,340,36–50,Married,596586,budget approved,Teacher,0
User91,+91-4420632893,user91@outlook.com,327,36–50,Married with Kids,655728,price too high,AccountantCivil Engineer,0
User92,+91-2369821007,user92@test.com,434,36–50,Single,659471,urgent,Retired,0
User93,+91-3079678491,user93@gmail.com,500,51+,Married with Kids,982604,call me now,Software Engineer,1
User94,+91-4224979833,user94@test.com,332,51+,Married,757749,,Doctor,0
User95,+91-8858368656,user95@outlook.com,347,18–25,Single,738803,call me now,Lawyer,1
User96,+91-2303946173,user96@outlook.com,802,26–35,Single,485327,interested,Retired,0
